listing_id,id,date,reviewer_id,reviewer_name,comments,sentiment_label
7452173,83955523,2016-07-04,15340719,Brian,"Excellent penthouse apartment in a great location in Stockholm. Walking distance to most central places. Penthouse was very clean and in pristine condition.<br/>Niklas and Victoria left us a personalised note with everything we needed to know about the penthouse and even left us a few beers to welcome us. A one page note is much better than a large manual you find in some apartments!<br/>The street of the penthouse had a lot of cool bars and restaurants, including a very highly recommended restaurant which we ate at, and it did not disappoint! If you're looking for a cool apt in a central location with a chilled and relaxed vibe - this is your place!",1
820745358588537821,915062176998968649,2023-06-16,122233215,Guillaume,"Would recommend! Very friendly host and and responsive. Location is great as it's very central and near Gullmarsplan, which gives you direct connections to the nicest places in Stockholm!",1
826201900527590906,1122374106482196092,2024-03-28,160169071,Laura,Great one bedroom apartment. Very clean and tasteful with all needed amenities in a convenient location.,1
1089847010707927485,1180360314242415307,2024-06-16,21888322,Viktoria,"Well equipped, sunny and nicely designed apartment in a great location! Only 10 minutes walk from the metro and 2 stops from Old Town. Although the area has many restaurants and bars, the apartment is quiet and has a lot of light. Big bedroom with comfortable bed, lovely kitchen with everything you need and a good size bathroom. Easy to get in and out, but Mikael was also great communicator. Great place when you visit Stockholm!",1
36723848,594731286,2020-01-19,112579274,Rémy,Spacious and clean place.<br/>We really appreciated the sauna! <br/>I recommend it!,1
23279126,510694936308802003,2021-12-05,122846533,Gabriella,Such an ideal Airbnb<br/>Went as a group of four friends. Was very clean and big. Modern appliances and comfy sofa. Big dinning room & bathroom was great. <br/>Would deffo recommend anyone going to Stockholm if you’re three or four people this is perfect.<br/>Location was perfect for a two/three night stay. You’re in the historic centre so a good mix of cafes/pubs/restaurants/Christmas Market.<br/>If you want a busier atmosphere or clubs would still suggest Gamla Sta as it’s very well connected with metro/bus.,1
833760576332700810,997728826050498715,2023-10-08,250649941,Megi,Clean and cozy. Good value for the price we paid :),1
36783908,1061468477695178201,2024-01-04,483290600,Miia,"I prefer an apartment with kitchen (or at least a microwave and a water kettle) , but this was a convenient choice since it is located near the central station. Breakfast isn't included but can be booked seperately. The room was clean and beds comfortable. I did miss the cooking possibility though.",1
242188,154206328,2017-05-23,83072395,Sacha,"Awesome place , great location she was very helpful with getting around . Nice strong shower. Would definitely stay again .",1
1121434169014429723,1186794085307806080,2024-06-25,33158816,Casey,"forenom was a nice place to stay. sort of a cross between an apartment and a hotel with some weekly cleaning (which I didn't utilize as my stay was whiet). its the cheapest and most convenient option for those who want to stay in a quiet residential neighborhood with easy access to various parts of Stockholm.<br/>rooms are clean, I didn't receive my key code but it was easy to find and was allowed in by friendly staff to receive my key code in person.<br/>I think I vastly prefer this simple style of apartment over hotels, even more so in Scandinavia where public transportation is readily available",1
31347264,914289985466448912,2023-06-15,485203558,Mika,Clean and nice place. Good kitchen. Near metro station.,1
10579009,1275994816767270924,2024-10-26,164976922,Mark,"The main selling point is the location on Gamla Stan and the old world charm.  The apartment is spacious with abundant room for two.  We were comfortable, but the amenities are fairly basic and while the apartment was tidy, it could use a deep clean and small touches, like shampoo in the bathroom and salt in the kitchen which is helpful to travelers.  Otherwise, the central location can’t be beat.",1
40867254,972323958164817687,2023-09-03,349766306,Andrej,It was good in overall,1
1271843,896160723442487646,2023-05-21,5186690,Lynn,So so lucky to have gotten to stay at André and Marika’s.  Perfect simple organized high quality generous are words to describe my stay. Only hope i can stay with them again someday!,1
822129286053188824,882404890831780620,2023-05-02,350363674,Lukas,"Perfect for two or three people!<br/>It’s a very clean and well furnished appartment in a totally new building.<br/>Fresh towels and bedlines are included.<br/>There’s one bed and a extendable couch.<br/>The system is very easy so it’s no problem to undo it in the morning.<br/>There‘s a metro station nearby,<br/>a walk to the central station/ city center takes about half an hour.<br/>Check-in was very easy.<br/>The host responds very quickly and friedndly.",1
30625615,1215106276763483082,2024-08-03,528082756,Arinna,"We had a nice time at the Airbnb,  everything we needed was there. The shower was good. The floor in the apartment had a few stains and the air conditioning is kind of noisy. But apart from that it looked like the description and the Check-In and Check-Out was easy and uncomplicated. We slept very well.",1
6310727,278996521,2018-06-19,3221506,Natalia,"This place is amazing! The apartment is very cute and cozy, and Kenneth is a great host. He was very welcoming and reacted on all my questions super-quickly. Highly recommend to all travelers.",1
30807581,411937681,2019-02-14,44945057,Mark,"Great base, clean and had everything you’d expect. Would book again!!",1
15628102,552181193,2019-10-21,192152,Jill,Stayed with my friend for a long weekend in Stockholm. Easy check-in and very cozy apartment. The hosts were welcoming and left great rec’s for things to do and restaurants. The location is great as well and the apartment is clean and well decorated. I would stay here again for sure!,1
49505868,1262990110250058734,2024-10-08,79277302,Sneha,"Patrik and Elin’s place had the best location one could ask for in Gamla Stan, or anywhere in stockholm city. As a solo traveler it was important for me to feel safe and like i could get back home quickly if needed, and this was exactly what i got from this apartment. The hosts were easy to reach, and the apartment itself was also very cute. Will stay here again when I’m in Stockholm next!",1
25751218,1236811178985842004,2024-09-02,335508153,Bob,"Johanna was very responsive and friendly. She helped us with some of our logistical problems in arriving and leaving. She took a personal interest in us, which made us feel welcomed.",1
30883760,563283341,2019-11-12,17390471,Marie-Elsa,"Jon's place is really great, very comfy and homy, super clean and the location is ideal. Jon was very reactive and pleasant. I highly recommand a stay at his place !",1
40302082,613575621,2020-03-02,40206489,Anne-Laure,"Cute basement studio, clean and well located . Check in and checkout can’t be easier ! We enjoyed our stay thanks",1
50965339,1028908449027574843,2023-11-20,507821016,Maxim,"We spent three nights at apartment and we were absolutely satisfied. Apartment and whole building is very quiet, the location is very good. Also the apartmant was very clean. And the communication with our host was perfect. Will definetely stay again next time.",1
16250817,315573547,2018-08-29,62228177,Alastair,"The apartment is situated in a very good location. It's possible to walk to the city center (about 15-20 mins) and even to Skansen museum! (It's a rather long walk, maybe 30 minutes).<br/>I would definitely recommend this apartment to travellers who wish to stay out of the hustle and bustle of the city, but want to be close enough to see the sights.",1
10222510,86696754,2016-07-17,29715394,Nora,"This apartment is lovely and has the absolute perfect location for exploring Stockholm. You're right in the heart of the old town island Gamla Stan and about 200 meters from the royal castle. Katia was a very responsive host and very helpful. I would maybe not recommend this apartment to anyone that would want to lounge around the apartment as it is small, especially for our group of 3 people. However, if that is not that case, I can not recommend this apartment enough! ",1
36340282,490293961,2019-07-18,185982462,Nikhil,"This is a charming apartment in what must be the perfect location to base your Stockholm vacation. I loved my time here and would happily stay again.<br/>The space is spotless and very nicely furnished, and the neighborhood offers beautiful walks and countless cafes and restaurants just outside.<br/>There are one or two very minor quirks to make note of, however. The apartment has a tiny water heater and a massive (very nice) shower head so you must bathe quickly before the hot water runs out. There is a square outside with foot traffic late into the night. Be aware that it can be just a bit noisy. When we arrived there was no toilet paper in the bathroom and we could not access the Wi-Fi until contacting the host. <br/>None of these issues detracted from our pleasure at staying in this delightful property, but I felt they were worth mentioning.",1
31206931,682367841072932174,2022-07-30,105764683,Madison,"We loved our stay! Apartment is even more beautiful than the pictures. Andrea was a great host and so easy to communicate with, plus she had tons of wonderful recommendations.",1
